Value,Disaggregation combinations using this value,Number of indicators
Banja Luka,9,1
Banovići,9,1
Berkovići,9,1
Bihać,9,1
Bijeljina,9,1
Bileća,9,1
Bosanska Krupa,9,1
Bosanski Petrovac,9,1
Bosansko Grahovo,9,1
Bratunac,9,1
Breza,9,1
Brod,9,1
Brčko,9,1
Bugojno,9,1
Busovača,9,1
Bužim,9,1
Cazin,9,1
Derventa,9,1
Doboj-Istok,9,1
Doboj-Jug,9,1
Doboj,9,1
Dobretići,9,1
Domaljevac-Šamac,9,1
Donji Vakuf,9,1
Donji Žabar,9,1
Drvar,9,1
Fojnica,6,1
Foča - FBIH,6,1
Foča - RS,6,1
Gacko,6,1
Glamoč,6,1
Goražde,6,1
Gornji Vakuf-Uskoplje,6,1
Gradačac,6,1
Gradiška,6,1
Gračanica,6,1
Grude,6,1
Han Pijesak,6,1
Istočna Ilidža,6,1
Istočni Drvar,3,1
Istočni Mostar,6,1
Istočni Stari Grad,6,1
Istočno Novo Sarajevo,6,1
Jablanica,6,1
Jajce,6,1
Jezero,6,1
Kakanj,6,1
Kalesija,6,1
Kalinovik,6,1
Kiseljak,6,1
Kladanj,6,1
Ključ,6,1
Kneževo,6,1
Konjic,6,1
Kostajnica,6,1
Kotor Varoš,6,1
Kozarska Dubica,6,1
Kreševo,6,1
Krupa Na Uni,6,1
Kupres - FBIH,6,1
Kupres - RS,5,1
Laktaši,6,1
Livno,6,1
Ljubinje,6,1
Ljubuški,6,1
Lopare,6,1
Lukavac,6,1
Maglaj,6,1
Milići,6,1
Modriča,6,1
Mostar,6,1
Mrkonjić Grad,6,1
Neum,6,1
Nevesinje,6,1
Novi Grad,6,1
Novi Travnik,6,1
Novo Goražde,6,1
Odžak,6,1
Olovo,6,1
Orašje,6,1
Osmaci,6,1
Oštra Luka,6,1
Pale - FBIH,6,1
Pale - RS,6,1
Pelagićevo,6,1
Petrovac,6,1
Petrovo,6,1
Posušje,6,1
Prijedor,6,1
Prnjavor,6,1
Prozor,6,1
Ravno,6,1
Ribnik,6,1
Rogatica,6,1
Rudo,6,1
Sanski Most,6,1
Sapna,6,1
Sarajevo - Centar,9,1
Sarajevo - Hadžići,6,1
Sarajevo - Ilidža,6,1
Sarajevo - Ilijaš,6,1
Sarajevo - Novi Grad,6,1
Sarajevo - Novo Sarajevo,6,1
Sarajevo - Stari Grad,6,1
Sarajevo - Vogošća,6,1
Sokolac,6,1
Srbac,6,1
Srebrenica,6,1
Srebrenik,6,1
Stolac,6,1
Teočak,6,1
Teslić,6,1
Tešanj,6,1
Tomislavgrad,6,1
Travnik,6,1
Trebinje,6,1
Trnovo - FBIH,6,1
Trnovo - RS,6,1
Tuzla,6,1
Ugljevik,6,1
Usora,6,1
Vareš,6,1
Velika Kladuša,6,1
Visoko,6,1
Vitez,6,1
Višegrad,6,1
Vlasenica,6,1
Vukosavlje,6,1
Zavidovići,6,1
Zenica,6,1
Zvornik,6,1
Čajniče,9,1
Čapljina,9,1
Čelinac,9,1
Čelić,9,1
Čitluk,9,1
Šamac,6,1
Šekovići,6,1
Šipovo,6,1
Široki Brijeg,6,1
Žepče,6,1
Živinice,6,1
